a-fib;AFP,-
aaa;A,-
abcess;APSS,-
abdomen;APTMN,-
abdomenal;APTMNL,-
abdominal;APTMNL,-
abdominalgia;APTMNLJ,APTMNLK
abdominalis;APTMNLS,-
abdominis;APTMNS,-
abdominocentesis;APTMNSNTSS,-
abdominoperineal;APTMNPRNL,-
abdominorectal;APTMNRKTL,-
abdominosigmoidal;APTMNSKMTL,-
abdominothoracic;APTMN0RSK,APTMNTRSK
abdominovesical;APTMNFSKL,-
abduction;APTKXN,-
aberrant;APRNT,-
aberration;APRXN,-
ablatio;APLT,-
ablation;APLXN,-
abnormal;APNRML,-
abnormalities;APNRMLTS,-
abnormality;APNRMLT,-
abortion;APRXN,-
abortus;APRTS,-
above;APF,-
abrasion;APRSN,APRXN
abrasions;APRSNS,APRXNS
abrsion;APRSN,APRXN
abruptio;APRPT,-
abruption;APRPXN,-
abscess;APSS,-
abscessed;APSST,-
abscesses;APSSS,-
absence;APSNS,-
absent;APSNT,-
absinthe;APSN0,APSNT
absinthemia;APSN0M,APSNTM
absinthism;APSN0SM,APSNTSM
absorption;APSRPXN,-
absscess;APSSS,-
abstinence;APSTNNS,-
abuse;APS,-
abuse/use;APSS,-
abused;APST,-
abuser;APSR,-
acantholysis;AKN0LSS,AKNTLSS
acanthosis;AKN0SS,AKNTSS
accelerated;AKSLRTT,-
access;AKSS,-
accessory;AKSSR,-
accident;AKSTNT,-
accidental;AKSTNTL,-
accidentally;AKSTNTL,-
accidents;AKSTNTS,-
accreta;AKRT,-
accretio;AKRT,-
acephalia;ASFL,-
acephalic;ASFLK,-
acephalism;ASFLSM,-
acephalus;ASFLS,-
acephaly;ASFL,-
acetabular;ASTPLR,-
acetabulum;ASTPLM,-
acetaminophen;ASTMNFN,-
acetone;ASTN,-
acetonemia;ASTNM,-
acetylene;ASTLN,-
acetylsalicylic;ASTLSLSLK,-
achalasia;AXLS,AKLX
achilles;AXLS,AKLS
achlorhydric;AKLRTRK,-
achondroplasia;AXNTRPLS,AKNTRPLX
achondroplastic;AXNTRPLSTK,AKNTRPLSTK
achylia;AXL,AKL
acid;AST,-
acidemia;ASTM,-
acidity;ASTT,-
acidophil;ASTFL,-
acidosis;ASTSS,-
acinetobacter;ASNTPKTR,-
acinetobacteria;ASNTPKTR,-
acinetobacterial;ASNTPKTRL,-
acnitis;AKNTS,-
acoustic;AKSTK,-
acquired;AKRT,-
acrania;AKRN,-
acrocephaly;AKRSFL,-
acrodermatitis;AKRTRMTTS,-
acromegalia;AKRMKL,-
acromegaly;AKRMKL,-
acromial;AKRML,-
acromicria;AKRMKR,-
acromioclavicular;AKRMKLFKLR,-
acromion;AKRMN,-
acropathy;AKRP0,AKRPT
acroscleroderma;AKRSKRTRM,-
acrosclerosis;AKRSKRSS,-
acteryl;AKTRL,-
acth;AK0,AKT
actinic;AKTNK,-
actinobacter;AKTNPKTR,-
actinobacterial;AKTNPKTRL,-
actinomycosis;AKTNMKSS,-
actinomycotic;AKTNMKTK,-
action;AKXN,-
active;AKTF,-
activity;AKTFT,-
actually;AKTL,-
acute;AKT,-
adair;ATR,-
adams;ATMS,-
addict;ATKT,-
addiction;ATKXN,-
addison;ATSN,-
addisonian;ATSNN,-
addisons;ATSNS,-
adendocarcinoma;ATNTKRSNM,-
adenitis;ATNTS,-
adeno-carcinoma;ATNKRSNM,-
adenoca;ATNK,-
adenocancer;ATNKNSR,-
adenocarcinoma;ATNKRSNM,-
adenocarcinomatosis;ATNKRSNMTSS,-
adenocystic;ATNSSTK,-
adenofibroma;ATNFPRM,-
adenoid;ATNT,-
adenoidectomy;ATNTKTM,-
adenoids;ATNTS,-
adenoma;ATNM,-
adenomatoid;ATNMTT,-
adenomatous;ATNMTS,-
adenomyosis;ATNMSS,-
adenopathy;ATNP0,ATNPT
adenosarcoma;ATNSRKM,-
adenosquamous;ATNSKMS,-
adenoviral;ATNFRL,-
adenoviremia;ATNFRM,-
adenovirus;ATNFRS,-
adherent;ATRNT,-
adhesion;ATSN,ATXN
adhesions;ATSNS,ATXNS
adhesive;ATSF,-
adiposis;ATPSS,-
adiposity;ATPST,-
adjustment;ATJSTMNT,-
administration;ATMNSTRXN,-
adnexa;ATNKS,-
adnoid;ATNT,-
adrenal;ATRNL,-
adrenalectomy;ATRNLKTM,-
adrenalitis;ATRNLTS,-
adrenals;ATRNLS,-
adrenitis;ATRNTS,-
adrenocortical;ATRNKRTKL,-
adrenocorticotrophic;ATRNKRTKTRFK,-
adrenogenital;ATRNJNTL,ATRNKNTL
adrenoleukodystrophy;ATRNLKTSTRF,-
adriamycin;ATRMSN,-
adult;ATLT,-
adults;ATLTS,-
adv;ATF,-
advance;ATFNS,-
advanced;ATFNST,-
advancing;ATFNSNK,-
adventitial;ATFNTXL,-
adverse;ATFRS,-
advil;ATFL,-
adynamic;ATNMK,-
aeration;ARXN,-
aerobacter;ARPKTR,-
aerobactic;ARPKTK,-
aerobic;ARPK,-
aerogenes;ARJNS,ARKNS
aerosol;ARSL,-
aeruginosa;ARJNS,ARKNS
affair;AFR,-
affecting;AFKTNK,-
affective;AFKTF,-
afferent;AFRNT,-
afib;AFP,-
afibrillation;AFPRLXN,-
afibrinogenemia;AFPRNJNM,AFPRNKNM
after;AFTR,-
agalactia;AKLKX,-
agammaglobulinemia;AKMKLPLNM,-
aganglionic;AKNKLNK,AKNLNK
aganglionosis;AKNKLNSS,AKNLNSS
age;AJ,AK
age-related;AJRLTT,AKRLTT
aged;AJT,AKT
agenesis;AJNSS,AKNSS
agent;AJNT,AKNT
agglutinin;AKLTNN,-
aggravated;AKRFTT,-
aggressive;AKRSF,-
aging;AJNK,AKNK
agitans;AJTNS,AKTNS
agitated;AJTTT,AKTTT
agitation;AJTXN,AKTXN
agnogenic;AKNJNK,ANKNK
agonal;AKNL,-
agoraphobia;AKRFP,-
agranulocytic;AKRNLSTK,-
agranulocytosis;AKRNLSTSS,-
agyria;AKR,AJR
ahterosclerosis;ATRSKRSS,-
aids;ATS,-
ailment;ALMNT,-
air;AR,-
airflow;ARFL,ARFLF
airplane;ARPLN,-
airway;AR,-
airways;ARS,-
aki;AK,-
akinetic;AKNTK,-
alactasia;ALKTS,ALKTX
alagilles;ALJLS,ALKLS
alba;ALP,-
albers;ALPRS,-
albertini;ALPRTN,-
albicans;ALPKNS,-
albright;ALPRT,-
albumin;ALPMN,-
alcohol;ALKHL,-
alcoholic;ALKHLK,-
alcoholism;ALKHLSM,-
aldosteronoma;ALTSTRNM,-
aldrich;ALTRX,ALTRK
aleukemia;ALKM,-
aleukemic;ALKMK,-
alexanders;ALKSNTRS,-
alheimers;ALMRS,-
alimentary;ALMNTR,-
alimentation;ALMNTXN,-
alkalemia;ALKLM,-
alkali;ALKL,-
alkaline;ALKLN,-
alkalosis;ALKLSS,-
alkaseltzer;ALKSLTSR,-
alkeran;ALKRN,-
all;AL,-
allergic;ALRJK,ALRKK
allergy;ALRJ,ALRK
allogenic;ALJNK,ALKNK
allograft;ALKRFT,-
alopecia;ALPS,ALPX
alpers;ALPRS,-
alpha;ALF,-
alpha-1-antitryptsine;ALFNTTRPTSN,-
alports;ALPRTS,-
alprazolam;ALPRSLM,-
als;ALS,-
